num_points,num_procs,walltime
3700000,4,0.03991
800000,4,0.014064
5900000,2,0.123072
2600000,12,0.020745
8900000,4,0.093597
6800000,8,0.040255
7100000,4,0.077298
8900000,2,0.174238
9600000,2,0.184039
200000,2,0.006859
2000000,12,0.015876
5200000,8,0.035052
6300000,8,0.037369
3300000,4,0.042939
700000,1,0.030947
10000000,8,0.056607
7400000,8,0.045998
7100000,2,0.141557
1900000,8,0.016073
2400000,2,0.056179
3300000,2,0.071722
3300000,8,0.028379
2300000,4,0.032336
400000,2,0.014172
8900000,12,0.036315
4900000,12,0.019534
6100000,8,0.035533
200000,8,0.003977
8700000,2,0.165078
2200000,12,0.021896
5300000,8,0.035567
9000000,8,0.052717
1400000,12,0.011107
6500000,8,0.037202
4200000,4,0.043709
1500000,4,0.023679
5100000,12,0.035047
500000,2,0.016784
4600000,12,0.031163
5000000,2,0.096576
7900000,1,0.292018
7300000,12,0.043463
7600000,2,0.148794
500000,4,0.008667
400000,12,0.005199
700000,8,0.006111
