ncores,npoints,scalable,time
2,6900000,0,0.13567
6,1100000,0,0.013909
8,500000,0,0.004395
2,8900000,0,0.170292
4,5900000,0,0.061987
12,5700000,0,0.024644
12,9300000,0,0.045914
6,7600000,0,0.057445
2,5100000,0,0.104972
12,7200000,0,0.029137
8,8200000,0,0.048868
6,9600000,0,0.070767
1,7900000,0,0.299539
2,6100000,0,0.127955
2,5400000,0,0.109523
8,8300000,0,0.049236
4,9300000,0,0.100719
1,5700000,0,0.221254
4,200000,0,0.004793
10,7200000,0,0.037576
4,3300000,0,0.036115
6,4700000,0,0.039335
2,6400000,0,0.128503
1,8600000,0,0.316519
1,4000000,0,0.150879
10,7100000,0,0.038964
4,4400000,0,0.050673
10,2800000,0,0.016765
10,6700000,0,0.036834
4,1200000,0,0.020592
1,7800000,0,0.288218
6,3600000,0,0.033627
8,3400000,0,0.026714
10,1100000,0,0.009341
1,700000,0,0.032902
12,1900000,0,0.011066
6,6300000,0,0.050396
1,1500000,0,0.063828
6,7200000,0,0.055424
4,8100000,0,0.081372
4,2900000,0,0.040503
6,8400000,0,0.066593
6,4100000,0,0.034508
8,1200000,0,0.01126
1,1700000,0,0.060544
6,2100000,0,0.021679
8,4200000,0,0.026798
6,700000,0,0.008078
2,9900000,0,0.189082
1,1400000,0,0.056084
6,6800000,0,0.05069
4,3800000,0,0.041617
8,7900000,0,0.045343
10,3800000,0,0.026033
6,3500000,0,0.030916
10,6600000,0,0.034991
2,2000000,0,0.047463
2,6000000,0,0.124094
10,8000000,0,0.038684
8,2100000,0,0.017352
4,9700000,0,0.101051
10,7300000,0,0.039873
1,500000,0,0.023607
2,3700000,0,0.077305
10,3600000,0,0.020125
12,4200000,0,0.031127
4,5700000,0,0.062545
6,8200000,0,0.059221
10,9400000,0,0.044359
2,4500000,0,0.094394
6,9800000,0,0.072057
4,800000,0,0.014292
8,7700000,0,0.051578
1,1800000,0,0.070044
8,1100000,0,0.01131
1,4100000,0,0.16064
12,800000,0,0.011576
4,6100000,0,0.066244
2,1400000,0,0.034707
12,8700000,0,0.052566
1,200000,0,0.01015
8,2500000,0,0.018796
6,4400000,0,0.035634
10,1000000,0,0.009288
4,2000000,0,0.02629
6,9900000,0,0.071116
1,2800000,0,0.099818
1,600000,0,0.029633
4,7200000,0,0.076661
4,1500000,0,0.021492
8,5800000,0,0.037396
12,8900000,0,0.039823
4,2200000,0,0.035881
10,6300000,0,0.033083
12,2900000,0,0.022724
4,1300000,0,0.014135
12,6400000,0,0.031409
2,2900000,0,0.063878
6,5000000,0,0.039561
10,1200000,0,0.009185
12,400000,0,0.007335
